open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1771493400000,2026-02-19 09:30:00 UTC,67133.87000000,67147.21000000,67092.90000000,67144.56000000,36.54581000,1771493699999,2026-02-19 09:34:59 UTC,2452778.23429950,8372,13.22480000,887587.15025890
1771493700000,2026-02-19 09:35:00 UTC,67144.56000000,67144.56000000,67039.84000000,67046.57000000,33.65062000,1771493999999,2026-02-19 09:39:59 UTC,2257341.76253830,12367,11.96580000,802672.06635770
1771494000000,2026-02-19 09:40:00 UTC,67046.57000000,67087.70000000,67042.80000000,67075.63000000,21.59254000,1771494299999,2026-02-19 09:44:59 UTC,1448064.87103090,8086,8.32593000,558344.51435170
1771494300000,2026-02-19 09:45:00 UTC,67075.64000000,67075.64000000,66754.23000000,66794.11000000,101.49525000,1771494599999,2026-02-19 09:49:59 UTC,6790233.12972470,25873,17.56625000,1174574.27175400
1771494600000,2026-02-19 09:50:00 UTC,66794.11000000,66871.29000000,66775.19000000,66855.28000000,68.77798000,1771494899999,2026-02-19 09:54:59 UTC,4595939.97082150,17620,27.47975000,1835902.77529980
1771494900000,2026-02-19 09:55:00 UTC,66855.28000000,66877.45000000,66836.00000000,66836.00000000,18.91265000,1771495199999,2026-02-19 09:59:59 UTC,1264526.03252780,6994,9.38365000,627397.03600430
1771495200000,2026-02-19 10:00:00 UTC,66836.01000000,66860.95000000,66751.88000000,66760.35000000,38.99737000,1771495499999,2026-02-19 10:04:59 UTC,2605059.31693410,20598,18.38858000,1228318.50182940
1771495500000,2026-02-19 10:05:00 UTC,66760.36000000,66883.47000000,66741.77000000,66879.12000000,42.34540000,1771495799999,2026-02-19 10:09:59 UTC,2829256.85310050,21289,25.76668000,1721787.55806150
1771495800000,2026-02-19 10:10:00 UTC,66879.12000000,66925.25000000,66871.20000000,66871.21000000,32.01545000,1771496099999,2026-02-19 10:14:59 UTC,2141872.06074310,11408,10.65458000,712743.53837810
1771496100000,2026-02-19 10:15:00 UTC,66871.20000000,66931.97000000,66864.27000000,66920.74000000,13.39937000,1771496399999,2026-02-19 10:19:59 UTC,896477.35488200,7420,8.63230000,577507.32424150
