trade_id,symbol,side,leverage,candle_open_time_utc,candle_close_time_utc,candle_close_time_bne,open,close,roi_open_pct,roi_close_pct
1,BTCUSDT,long,10.0,2026-05-04 15:00:00 UTC,2026-05-04 15:04:59 UTC,2026-05-05 01:04:59 Brisbane,80216.15,80100.0,-0.20627499760076515,-1.653939104629373
1,BTCUSDT,long,10.0,2026-05-04 15:05:00 UTC,2026-05-04 15:09:59 UTC,2026-05-05 01:09:59 Brisbane,80100.01,80081.61,-1.6538144671686523,-1.8831473950147073
1,BTCUSDT,long,10.0,2026-05-04 15:10:00 UTC,2026-05-04 15:14:59 UTC,2026-05-05 01:14:59 Brisbane,80081.6,80102.62,-1.883272032475428,-1.621284089903515
1,BTCUSDT,long,10.0,2026-05-04 15:15:00 UTC,2026-05-04 15:19:59 UTC,2026-05-05 01:19:59 Brisbane,80102.61,79505.38,-1.6214087273642357,-9.065131797882813
1,BTCUSDT,long,10.0,2026-05-04 15:20:00 UTC,2026-05-04 15:24:59 UTC,2026-05-05 01:24:59 Brisbane,79505.39,79538.72,-9.065007160422093,-8.649590503622537
1,BTCUSDT,long,10.0,2026-05-04 15:25:00 UTC,2026-05-04 15:29:59 UTC,2026-05-05 01:29:59 Brisbane,79538.71,79700.37,-8.64971514108326,-6.634825950017907
1,BTCUSDT,long,10.0,2026-05-04 15:30:00 UTC,2026-05-04 15:34:59 UTC,2026-05-05 01:34:59 Brisbane,79700.37,79670.16,-6.634825950017907,-7.011355719052127
1,BTCUSDT,long,10.0,2026-05-04 15:35:00 UTC,2026-05-04 15:39:59 UTC,2026-05-05 01:39:59 Brisbane,79670.15,79711.65,-7.0114803565130295,-6.494234894251383
1,BTCUSDT,long,10.0,2026-05-04 15:40:00 UTC,2026-05-04 15:44:59 UTC,2026-05-05 01:44:59 Brisbane,79711.66,79909.99,-6.4941102567904805,-4.022175497022933
1,BTCUSDT,long,10.0,2026-05-04 15:45:00 UTC,2026-05-04 15:49:59 UTC,2026-05-05 01:49:59 Brisbane,79909.99,79810.57,-4.022175497022933,-5.2613211321567155
1,BTCUSDT,long,10.0,2026-05-04 15:50:00 UTC,2026-05-04 15:54:59 UTC,2026-05-05 01:54:59 Brisbane,79810.57,79916.38,-5.2613211321567155,-3.942532159580725
1,BTCUSDT,long,10.0,2026-05-04 15:55:00 UTC,2026-05-04 15:59:59 UTC,2026-05-05 01:59:59 Brisbane,79916.37,80028.85,-3.942656797041627,-2.540734638121256
1,BTCUSDT,long,10.0,2026-05-04 16:00:00 UTC,2026-05-04 16:04:59 UTC,2026-05-05 02:04:59 Brisbane,80028.85,80031.76,-2.540734638121256,-2.5044651370326854
1,BTCUSDT,long,10.0,2026-05-04 16:05:00 UTC,2026-05-04 16:09:59 UTC,2026-05-05 02:09:59 Brisbane,80031.77,79802.0,-2.5043404995717835,-5.368135436050352
1,BTCUSDT,long,10.0,2026-05-04 16:10:00 UTC,2026-05-04 16:14:59 UTC,2026-05-05 02:14:59 Brisbane,79802.0,79724.79,-5.368135436050352,-6.330461270778668
1,BTCUSDT,long,10.0,2026-05-04 16:15:00 UTC,2026-05-04 16:19:59 UTC,2026-05-05 02:19:59 Brisbane,79724.79,80113.7,-6.330461270778668,-1.4831857833526731
1,BTCUSDT,long,10.0,2026-05-04 16:20:00 UTC,2026-05-04 16:24:59 UTC,2026-05-05 02:24:59 Brisbane,80116.98,80259.99,-1.4423046962148995,0.34013563048492884
1,BTCUSDT,long,10.0,2026-05-04 16:25:00 UTC,2026-05-04 16:29:59 UTC,2026-05-05 02:29:59 Brisbane,80260.0,80243.97,0.34026026794564945,0.14046641830580395
1,BTCUSDT,long,10.0,2026-05-04 16:30:00 UTC,2026-05-04 16:34:59 UTC,2026-05-05 02:34:59 Brisbane,80243.96,80274.9,0.14034178084508325,0.5259700845166259
1,BTCUSDT,long,10.0,2026-05-04 16:35:00 UTC,2026-05-04 16:39:59 UTC,2026-05-05 02:39:59 Brisbane,80274.91,80286.07,0.5260947219775279,0.6651901282146793
1,BTCUSDT,long,10.0,2026-05-04 16:40:00 UTC,2026-05-04 16:44:59 UTC,2026-05-05 02:44:59 Brisbane,80286.08,80275.66,0.6653147656753999,0.5354425315364734
1,BTCUSDT,long,10.0,2026-05-04 16:45:00 UTC,2026-05-04 16:49:59 UTC,2026-05-05 02:49:59 Brisbane,80275.66,80232.29,0.5354425315364734,-0.005110135892267024
